word_cn,word_en,semantic_hint,category
狙击枪,Sniper,,verb
抑制器,Suppressor,,noun
扳机,Trigger,,verb
塑胶炸药,C4,,noun
引爆,Detonate,,verb
引信导火索,Fuse,,noun
手榴弹,Grenade,,verb
地雷,Mine,,noun
导弹,Missile,,verb
火箭,Rocket,,noun
弹片,Shrapnel,,adjective
斧头,Axe,,verb
球棒,Bat,,verb
格挡,Block,,noun
钝器,Blunt,,verb
棍棒,Club,,noun
撬棍,Crowbar,,noun
拳头,Fist,,verb
战锤,Hammer,,noun
武士刀,Katana,,noun
砍刀,Machete,,adjective
招架,Parry,,noun
长矛,Spear,,verb
法杖长棍,Staff,,noun
鞭子,Whip,,verb
箭,Arrow,,noun
弓,Bow,,noun
弩,Crossbow,,noun
拉弓,Draw,,noun
箭羽声,Feather,,noun
箭袋,Quiver,,noun
弓弦,String,,noun
选择,Select,,noun
确认,Confirm,,verb
取消,Cancel,,adjective
返回,Back,,noun
拒绝,Deny,,adjective
哔声,Beep,,adjective
短促信号音,Blip,,noun
关闭,Close,,verb
减少,Decrease,,adjective
装备,Equip,,noun
失败,Fail,,verb
悬停,Hover,,verb
增加,Increase,,verb
升级,Level,Up,noun
登录,Login,,noun
登出,Logout,,noun
菜单,Menu,,noun
消息,Message,,noun
最小化,Minimize,,noun
最大化,Maximize,,noun
暂停,Pause,,adjective
播放,Play,,verb
购买,Purchase,,adjective
保存,Save,,adjective
滚动,Scroll,,verb
切换开关,Toggle,,verb
打字字幕显示,Typing,,noun
强化,Upgrade,,noun
共振,Resonance,,verb
颤动,Vibration,,verb
充能通用,Charge,,verb
释放,Release,,noun
激活,Activate,,verb
关闭通用,Deactivate,,adjective
重复,Repeat,,verb
节奏,Rhythm,,verb
节拍,Beat,,verb
汽车,Car,,noun
启动汽车,Start,car,noun
怠速,Idle,,adjective
轰油门,Rev,,noun
刹车,Brake,,noun
打滑漂移,Skid,,verb
喇叭,Horn,,noun
警笛,Siren,,adjective
轮胎,Tire,,noun
飞机,Airplane,,noun
救护车,Ambulance,,adjective
自行车,Bicycle,,noun
船,Boat,,noun
公交车,Bus,,verb
直升机,Helicopter,,verb
喷气机,Jet,,noun
摩托车,Motorcycle,,noun
警车,Police,Car,adjective
赛车,Race,Car,verb
轮船,Ship,,noun
潜水艇,Submarine,,noun
火车,Train,,noun
卡车,Truck,,noun
换挡,Gearshift,,adjective
手刹,Handbrake,,verb
引擎盖,Hood,,noun
转向灯,Indicator,,adjective
安全带,Seatbelt,,verb
后备箱,Trunk,,noun
雨刮器,Wiper,,adjective
出发离开,Depart,,verb
驶过,Drive,By,verb
鸣笛,Honk,,adjective
降落,Land,,noun
起飞,Takeoff,,verb
滑行,Taxi,,noun
烧胎,Burnout,,adjective
转弯,Corner,,noun
巡航,Cruise,,noun
急加速起步,Peel,Out,adjective
倒车,Reverse,,noun
熄火,Stall,,verb
转向,Turn,,verb
湮灭,Annihilate,physical destruction impact,adjective
原子化,Atomize,physical destruction impact,adjective
破碎,Break,physical destruction impact,verb
燃烧,Burn,physical destruction impact,verb
倒塌,Collapse,physical destruction impact,verb
腐蚀,Corrode,physical destruction impact,noun
衰败,Decay,physical destruction impact,verb
变形,Deform,physical destruction impact,noun
拆毁,Demolish,physical destruction impact,adjective
瓦解,Disintegrate,physical destruction impact,verb
溶解,Dissolve,physical destruction impact,verb
侵蚀,Erode,physical destruction impact,noun
爆炸,Explode,physical destruction impact,verb
内爆,Implode,physical destruction impact,noun
焚化,Incinerate,physical destruction impact,verb
熔化,Melt,physical destruction impact,verb
粉碎,Pulverize,physical destruction impact,noun
破裂,Rupture,physical destruction impact,noun
切断,Sever,physical destruction impact,noun
切碎,Shred,physical destruction impact,verb
汽化,Vaporize,physical destruction impact,noun
连接,Attach,physical foley transient,noun
弯曲,Bend,physical foley transient,verb
捆绑,Bind,physical foley transient,noun
接住,Catch,physical foley transient,verb
扣紧,Clasp,physical foley transient,noun
压缩,Compress,physical foley transient,verb
连接,Connect,physical foley transient,adjective
裂开,Crack,physical foley transient,verb
弄皱,Crumple,physical foley transient,adjective
压碎,Crush,physical foley transient,noun
分离,Detach,physical foley transient,noun
断开,Disconnect,physical foley transient,adjective
膨胀,Expand,physical foley transient,verb
伸展,Extend,physical foley transient,noun
固定,Fasten,physical foley transient,verb
折叠,Fold,physical foley transient,verb
摩擦,Friction,physical foley transient,verb
紧握,Grip,physical foley transient,verb
铰链转动,Hinge,physical foley transient,noun
充气,Inflate,physical foley transient,noun
插入,Insert,physical foley transient,noun
接合,Join,physical foley transient,noun
门闩锁住,Latch,physical foley transient,verb
举起,Lift,physical foley transient,verb
捏,Pinch,physical foley transient,adjective
插入插头,Plug,physical foley transient,verb
戳,Poke,physical foley transient,noun
拉,Pull,physical foley transient,verb
推,Push,physical foley transient,verb
撕裂,Rip,physical foley transient,verb
摩擦,Rub,physical foley transient,noun
抓,Scratch,physical foley transient,adjective
拧螺丝,Screw,physical foley transient,verb
折断,Snap,physical foley transient,noun
挤压,Squeeze,physical foley transient,adjective
堆叠,Stack,physical foley transient,noun
拉伸,Stretch,physical foley transient,adjective
抚摸,Stroke,physical foley transient,verb
拧紧,Tighten,physical foley transient,verb
触摸,Touch,physical foley transient,verb
扭转,Twist,physical foley transient,verb
展开,Unfold,physical foley transient,adjective
解锁,Unlock,physical foley transient,noun
旋松,Unscrew,physical foley transient,noun
拉开拉链,Unzip,physical foley transient,verb
擦拭,Wipe,physical foley transient,verb
包裹,Wrap,physical foley transient,verb
拉拉链,Zip,physical foley transient,verb
淹没,Flood,organic liquid ambient,noun
起泡,Froth,organic liquid ambient,noun
涌出,Gush,organic liquid ambient,verb
泄漏,Leak,organic liquid ambient,verb
渗出,Ooze,organic liquid ambient,adjective
冲洗,Rinse,organic liquid ambient,noun
吸食声,Slurp,organic liquid ambient,verb
浸泡,Soak,organic liquid ambient,noun
溢出,Spill,organic liquid ambient,verb
啪嗒声(湿物),Splat,organic liquid ambient,noun
喷雾,Spritz,organic liquid ambient,noun
吧唧声(踩泥),Squelch,organic liquid ambient,noun
上下浮动,Bob,physical movement transient,noun
倾斜疾行,Careen,physical movement transient,noun
飞奔,Dart,physical movement transient,verb
猛冲,Dash,physical movement transient,verb
弹出,Eject,physical movement transient,verb
进入,Enter,physical movement transient,noun
退出,Exit,physical movement transient,verb
漂浮,Float,physical movement transient,verb
拍打,Flutter,physical movement transient,noun
飞奔(马),Gallop,physical movement transient,verb
停顿,Halt,physical movement transient,verb
发射,Launch,physical movement transient,noun
轨道运行,Orbit,physical movement transient,noun
震荡,Oscillate,physical movement transient,verb
枢轴转动,Pivot,physical movement transient,noun
推进,Propel,physical movement transient,noun
脉动,Pulsate,physical movement transient,noun
后坐力,Recoil,physical movement transient,noun
收回,Retract,physical movement transient,noun
旋转,Rotate,physical movement transient,verb
驱散,Scatter,physical movement transient,noun
颤抖,Shiver,physical movement transient,noun
滑行(蛇),Slither,physical movement transient,noun
螺旋,Spiral,physical movement transient,verb
摇摆,Sway,physical movement transient,verb
倾斜,Tilt,physical movement transient,verb
震颤,Tremble,physical movement transient,verb
翻滚,Tumble,physical movement transient,verb
摇摆行走(鸭子),Waddle,physical movement transient,noun
漫游,Wander,physical movement transient,verb
扭动,Wiggle,physical movement transient,adjective
摇晃,Wobble,physical movement transient,verb
生物,Creature,organic creature,noun
呼吸,Breath,organic creature,adjective
粘液,Slime,organic creature,adjective
浴缸,Bath,domestic foley transient,noun
冲水,Flush,domestic foley transient,verb
淋浴,Shower,domestic foley transient,noun
水槽,Sink,domestic foley transient,verb
肥皂,Soap,domestic foley transient,adjective
马桶,Toilet,domestic foley transient,noun
牙刷,Toothbrush,domestic foley transient,adjective
毛巾,Towel,domestic foley transient,adjective
搅拌机,Blender,kitchen foley transient,noun
碗,Bowl,kitchen foley transient,verb
罐头,Can,kitchen foley transient,verb
切菜,Chop,kitchen foley transient,adjective
咖啡,Coffee,kitchen foley transient,noun
杯子,Cup,kitchen foley transient,noun
餐具,Cutlery,kitchen foley transient,adjective
盘子,Dish,kitchen foley transient,adjective
洗碗机,Dishwasher,kitchen foley transient,noun
嘶嘶起泡,Fizz,kitchen foley transient,noun
叉子,Fork,kitchen foley transient,verb
冰箱,Fridge,kitchen foley transient,noun
煎炸,Fry,kitchen foley transient,verb
研磨,Grind,kitchen foley transient,adjective
冰块,Ice,kitchen foley transient,noun
水壶,Kettle,kitchen foley transient,verb
微波炉,Microwave,kitchen foley transient,noun
搅拌器,Mixer,kitchen foley transient,noun
马克杯,Mug,kitchen foley transient,noun
烤箱,Oven,kitchen foley transient,noun
平底锅,Pan,kitchen foley transient,noun
餐盘,Plate,kitchen foley transient,noun
锅,Pot,kitchen foley transient,noun
冷藏箱,Refrigerator,kitchen foley transient,noun
滋滋声(油炸),Sizzle,kitchen foley transient,verb
勺子,Spoon,kitchen foley transient,adjective
炉灶,Stove,kitchen foley transient,noun
茶,Tea,kitchen foley transient,noun
计时器,Timer,kitchen foley transient,verb
烤面包,Toast,kitchen foley transient,noun
烤面包机,Toaster,kitchen foley transient,noun
电池,Battery,utility tool transient,adjective
电钻,Drill,utility tool transient,adjective
梯子,Ladder,utility tool transient,noun
火柴,Match,utility tool transient,verb
钉子,Nail,utility tool transient,adjective
钳子,Plier,utility tool transient,noun
螺丝刀,Screwdriver,utility tool transient,noun
工具,Tool,utility tool transient,noun
洗衣机,Washing,Machine utility tool transient,noun
扳手,Wrench,utility tool transient,verb
砰,Bang,impact physical transient,verb
重击,Bash,impact physical transient,adjective
连续猛打,Batter,impact physical transient,verb
敲头声,Bonk,impact physical transient,adjective
碰撞,Bump,impact physical transient,verb
当,Clang,impact physical transient,noun
哗啦声,Clatter,impact physical transient,noun
相撞,Collide,impact physical transient,verb
凹陷声,Dent,impact physical transient,adjective
叮,Ding,impact physical transient,verb
敲击,Knock,impact physical transient,verb
锤击,Pound,impact physical transient,adjective
急敲,Rap,impact physical transient,noun
猛关,Slam,impact physical transient,verb
啪,Smack,impact physical transient,verb
打击,Strike,impact physical transient,verb
轻敲,Tap,impact physical transient,noun
重击,Thump,impact physical transient,verb
猛揍,Wallop,impact physical transient,noun
重打,Whack,impact physical transient,verb
故障,Breakdown,industrial mechanical sustained,verb
当啷声,Clank,industrial mechanical sustained,noun
沉闷金属声,Clunk,industrial mechanical sustained,adjective
过载,Overload,industrial mechanical sustained,verb
处理中,Process,industrial mechanical sustained,verb
关机,Shutdown,industrial mechanical sustained,verb
火花,Spark,industrial mechanical sustained,noun
停止,Stop,industrial mechanical sustained,noun
开关,Switch,industrial mechanical loop,verb
推土机,Bulldozer,industrial construction mechanical,noun
水泥,Cement,industrial construction mechanical,noun
电锯,Chainsaw,industrial construction mechanical,adjective
建筑施工,Construction,industrial construction mechanical,adjective
拆除,Demolition,industrial construction mechanical,verb
挖掘,Dig,industrial construction mechanical,noun
挖掘机,Excavator,industrial construction mechanical,noun
叉车,Forklift,industrial construction mechanical,verb
风钻,Jackhammer,industrial construction mechanical,noun
打桩机,Pile,Driver industrial construction mechanical,noun
打磨机,Sander,industrial construction mechanical,adjective
脚手架,Scaffolding,industrial construction mechanical,noun
铲子,Shovel,industrial construction mechanical,adjective
焊接,Welding,industrial construction mechanical,noun
发牌,Deal,game ui digital transient,verb
筹码,Chip,game ui digital transient,noun
国际象棋,Chess,game ui digital transient,noun
棋盘游戏,Board,Game game ui digital transient,noun
棋子,Piece,game ui digital transient,noun
老虎机,Slot,Machine game ui digital transient,noun
大奖音效,Jackpot,game ui digital transient,noun
弹珠台,Pinball,game ui digital transient,noun
电子游戏,Video,Game game ui digital transient,adjective
游戏机,Console,game ui digital transient,noun
手柄,Controller,game ui digital transient,noun
摇杆,Joystick,game ui digital transient,verb
街机,Arcade,game ui digital transient,adjective
跳跃,Jump,movement transient,verb
火焰,Flame,organic fire ambient,verb
篝火,Bonfire,organic fire ambient,verb
燃烧器,Burner,organic fire ambient,adjective
余烬,Ember,organic fire ambient,adjective
火球,Fireball,organic fire ambient,verb
信号弹,Flare,organic fire ambient,adjective
烈火,Inferno,organic fire ambient,adjective
烧焦,Scorch,organic fire ambient,adjective
灼烧,Searing,organic fire ambient,verb
烟雾,Smoke,organic fire ambient,noun
烟花棒,Sparkler,organic fire ambient,noun
水下,Underwater,organic water ambient,noun
排水,Drain,organic water ambient,verb
投入水中,Plunge,organic water ambient,verb
喘气,Gas,organic air transient,noun
呼气,Huff,organic air transient,verb
喷气,Puff,organic air transient,noun
叹气,Sigh,organic air transient,adjective
吸鼻子,Sniff,organic air transient,adjective
喷嚏,Sneeze,organic air transient,verb
轻吹,Whiff,organic air transient,noun
嗖嗖声(高速),Whizz,organic air transient,noun
变焦,Zoom,organic air transient,adjective
砰(重击),Bam,impact dull transient,noun
轻打,Bop,impact dull transient,noun
扑通声(重物),Plonk,impact dull transient,noun
砰(剧烈撞击),Wham,impact dull transient,noun
扑通(沉闷),Whump,impact dull transient,noun
扑通(入水),Plop,organic liquid transient,noun
喷溅,Splutter,organic liquid transient,noun
吧唧声(挤压),Squish,organic liquid transient,adjective
叮当声(轻金属,Clink,metal glass impact transient,adjective
钟鸣,Chime,metal glass impact transient,noun
咚(钟声),Dong,metal glass impact transient,noun
叮叮当当(碎响),Jingle,metal glass impact transient,noun
刺耳金属声,Jangle,metal glass impact transient,noun
铃声,Ring,metal glass impact transient,noun
丁零声(细微),Tinkle,metal glass impact transient,noun
拨弦声,Twang,metal glass impact transient,noun
呼啸声(子弹,Zing,metal glass impact transient,noun
运球,Dribble,sports action transient,noun
发球,Serve,sports action transient,verb
扣杀,Spike,sports action transient,verb
拦截,Tackle,sports action transient,verb
补中(保龄球),Spare,sports action transient,noun
篮球,Basketball,sports ball transient,verb
棒球,Baseball,sports ball transient,verb
足球,Football,sports ball transient,verb
足球,Soccer,sports ball transient,noun
网球,Tennis,sports ball transient,verb
高尔夫,Golf,sports ball transient,verb
排球,Volleyball,sports ball transient,verb
保龄球,Bowling,sports ball transient,verb
乒乓球,Ping,Pong sports ball transient,adjective
台球,Billiards,sports ball transient,noun
台球(花式),Pool,sports ball transient,noun
球拍,Racket,sports equipment transient,verb
捕手手套,Mitt,sports equipment transient,noun
球网,Net,sports equipment transient,noun
篮筐,Rim,sports equipment transient,noun
篮板,Backboard,sports equipment transient,noun
记分牌,Scoreboard,sports equipment transient,adjective
跑步机,Treadmill,gym equipment transient,adjective
哑铃,Weights,gym equipment transient,adjective
杠铃,Barbell,gym equipment transient,noun
哑铃,Dumbbell,gym equipment transient,noun
沙袋,Punching,Bag gym equipment transient,verb
垫子,Mat,gym equipment transient,noun
滑板,Skateboard,skate action transient,verb
旱冰鞋,Rollerblade,skate action transient,verb
单板滑雪,Snowboard,skate action transient,verb
双板滑雪,Ski,skate action transient,verb
豚跳,Ollie,skate action transient,verb
轮子滚声,Wheel,skate action transient,verb
吹叶机,Blower,garden tool transient,verb
软管,Hose,garden tool transient,verb
割草机,Lawnmower,garden tool transient,adjective
耙子,Rake,garden tool transient,noun
大剪刀,Shears,garden tool transient,adjective
修剪机,Trimmer,garden tool transient,verb
独轮车,Wheelbarrow,garden tool transient,verb
铁砧,Anvil,workshop tool transient,verb
凿子,Chisel,workshop tool transient,noun
夹具,Clamp,workshop tool transient,verb
锉刀,File,workshop tool transient,noun
砂轮机,Grinder,workshop tool transient,adjective
车床,Lathe,workshop tool transient,noun
木槌,Mallet,workshop tool transient,noun
卷尺,Measuring,Tape workshop tool transient,noun
螺母,Nut,workshop tool transient,noun
油漆,Paint,workshop tool transient,noun
调色板,Palette,workshop tool transient,noun
刨子,Plane,workshop tool transient,noun
钳子,Pliers,workshop tool transient,noun
电烙铁,Soldering,Iron workshop tool transient,noun
扳手(英式),Spanner,workshop tool transient,noun
射钉枪,Staple,Gun workshop tool transient,noun
工具箱,Toolbox,workshop tool transient,noun
台虎钳,Vice,workshop tool transient,noun
焊机,Welder,workshop tool transient,noun
转向灯,Blinker,vehicle mechanical transient,noun
引擎盖(英式),Bonnet,vehicle mechanical transient,noun
后备箱(英式),Boot,vehicle mechanical transient,noun
仪表盘,Dashboard,vehicle mechanical transient,noun
排气,Exhaust,vehicle mechanical transient,adjective
车库,Garage,vehicle mechanical transient,noun
把手,Handle,vehicle mechanical transient,verb
轮毂盖,Hubcap,vehicle mechanical transient,noun
点火装置,Ignition,vehicle mechanical transient,noun
消声器,Muffler,vehicle mechanical transient,noun
踏板,Pedal,vehicle mechanical transient,verb
车载收音机,Radio,vehicle mechanical transient,noun
座椅,Seat,vehicle mechanical transient,noun
悬挂,Suspension,vehicle mechanical transient,verb
变速箱,Transmission,vehicle mechanical transient,adjective
挡风玻璃,Windshield,vehicle mechanical transient,noun
单车,Bike,vehicle engine transient,noun
直升机(俗称),Chopper,vehicle engine transient,noun
卡车(英式),Lorry,vehicle engine transient,noun
有轨电车,Tram,vehicle engine transient,verb
货车,Van,vehicle engine transient,noun
尾羽摩擦,Fletching,weapon archery transient,noun
靶子,Target,weapon archery transient,verb
血腥,Bloody,horror,verb
压抑,Oppressive,dark,adjective
阴森,Sinister,dark,adjective
恐怖,Horrific,serious,verb
惊悚,Thriller,tense,adjective
绝望,Desperate,dark,adjective
冷酷,Cold,blooded cruel,adjective
凶狠,Vicious,attack,adjective
阴暗,Grim,dark,adjective
沉闷,Muffled,dark,verb
令人窒息,Stifling,horror,verb
审讯,Interrogation,dark,noun
犯罪,Criminal,dark,verb
战争废墟,War,ruins destruction,noun
废墟,Ruins,desolate,noun
荒凉,Desolate,horror,adjective
腐朽,Decaying,horror,adjective
锈蚀,Corroded,dark,noun
嘶哑,Hoarse,harsh,adjective
沙哑,Raspy,dark,noun
干裂,Cracked,harsh,verb
撕裂,Tearing,violence,noun
断裂,Snapping,break,verb
崩塌,Collapsing,destruction,verb
轰鸣,Rumbling,ominous,verb
令人毛骨悚然,Creepy,,adjective
邪恶,Evil,,adjective
惊吓,Fright,,adjective
闹鬼,Haunted,,adjective
噩梦,Nightmare,,adjective
恐慌,Panic,,adjective
超自然,Paranormal,,adjective
恐惧,Terror,,adjective
咬,Bite,,adjective
窒息卡住,Choke,,verb
嘎吱碎裂,Crunch,,adjective
刺穿,Impale,,noun
穿刺,Pierce,,noun
猛砍,Slash,,noun
吸血鬼,Vampire,,noun
狼人,Werewolf,,noun
丧尸,Zombie,,adjective
恶魔,Demon,,noun
魔鬼,Devil,,noun
地穴,Crypt,,noun
地牢,Dungeon,,noun
墓地,Cemetery,,adjective
坟场,Graveyard,,adjective
神圣,Sacred,divine,adjective
清新,Fresh,clean,adjective
真实,Authentic,real,adjective
天鹅绒,Velvety,soft,noun
灵性,Spiritual,divine,adjective
冥想,Meditative,calm,adjective
晨曦,Dawn,light,adjective
黄昏,Dusk,peaceful,adjective
竖琴,Harp,angelic,noun
颂钵,Singing,bowl zen,adjective
耳语,Whisper,gentle,adjective
ASMR,ASMR,relaxing,noun
透气,Airy,,adjective
结实,Solid,,noun
甜美,Sweet,,adjective
紧致,Tight,,adjective
有调性,Tonal,,noun
平静,Calm,,adjective
电影感,Cinematic,,verb
戏剧性,Dramatic,,verb
史诗,Epic,,adjective
英雄,Heroic,,verb
神圣感,Holy,,adjective
放松,Relaxing,,adjective
庄严,Solemn,,noun
振奋,Uplifting,,verb
高保真,Hi,Fi,noun
恶作剧,Mischievous,prank,adjective
故障,Glitchy,error,adjective
扭曲,Twisted,weird,verb
怪诞滑稽,Grotesque,bizarre,adjective
滑稽,Comical,dark,verb
荒诞,Absurd,bizarre,adjective
马戏团,Circus,creepy,noun
小丑,Clown,scary,verb
万圣节,Halloween,spooky,noun
南瓜,Pumpkin,halloween,noun
鬼魂,Ghostly,spooky,adjective
幽灵,Spectral,ghost,adjective
哥特,Gothic,dark,noun
酸性,Acidic,harsh,adjective
腐蚀,Corrosive,toxic,noun
毒液,Venomous,toxic,adjective
粘液,Slimy,gross,adjective
比特碎裂,Bitcrushed,glitch,adjective
卡顿,Stuttering,glitch,verb
过载,Overdriven,harsh,verb
低保真,Lo,fi retro,noun
噪音,Noisy,chaotic,adjective
癫狂,Manic,crazy,adjective
神经质,Neurotic,weird,adjective
不稳定,Unstable,glitch,adjective
抽搐,Twitching,weird,verb
闪烁,Flickering,glitch,adjective
蒂姆伯顿,Tim,Burton gothic,noun
嗡嗡作响,Boomy,,verb
咔哒感,Clicky,,verb
沉闷钝,Dull,,adjective
颗粒感,Grainy,,noun
空洞,Hollow,,adjective
振铃余音,Ringing,,noun
粘稠,Sticky,,noun
扭曲变形,Warped,,verb
混叠,Aliasing,,verb
伪影瑕疵,Artifact,,noun
位深破碎,Bitcrush,,adjective
破碎断续,Breakup,,verb
缓冲,Buffer,,adjective
漏洞,Bug,,noun
数据损坏感,Corruption,,noun
切断,Cut,,verb
数据混流,Datamosh,,adjective
降级,Degrade,,verb
模糊法兹,Fuzz,,noun
延迟,Lag,,noun
马赛克,Mosaic,,noun
像素化,Pixelate,,noun
爆音,Pop,,adjective
短路,Short,Circuit,adjective
卡住,Stuck,,adjective
滋电流声,Zap,,noun
可爱,Cute,adorable,adjective
弹跳,Bouncy,fun,noun
魔法,Magical,fantasy,adjective
欢快,Cheerful,happy,adjective
萌,Adorable,cute,noun
俏皮,Playful,fun,verb
活泼,Lively,energetic,adjective
糖果,Candy,sweet,noun
棉花糖,Marshmallow,sweet,noun
泡泡,Bubbly,fun,verb
气泡,Fizzy,bubbly,noun
闪亮,Sparkly,shiny,noun
星光,Starry,magical,noun
童话,Fairy,tale magical,noun
公主,Princess,fantasy,noun
独角兽,Unicorn,magical,noun
彩虹,Rainbow,colorful,adjective
烟花,Fireworks,celebration,verb
庆典,Celebration,happy,verb
胜利,Victory,triumph,noun
奖励,Reward,game,verb
任天堂,Nintendo,game,adjective
8位,8,bit retro game,noun
卡通,Cartoon,animated,noun
动画,Animated,cartoon,verb
Q版,Chibi,cute,noun
蹦蹦跳跳,Hopping,bouncy,verb
软绵绵,Squishy,soft fun,adjective
毛绒,Fluffy,soft,adjective
蓬松,Puffy,soft,noun
果冻,Jelly,bouncy,noun
弹性,Springy,bouncy,noun
橡皮,Rubbery,bouncy,adjective
吸收,Absorb,,verb
奥术,Arcane,,adjective
光环,Aura,,adjective
祝福,Blessing,,adjective
增益,Buff,,adjective
施法,Cast,,verb
吟唱,Chant,,verb
魅惑,Charm,,adjective
召唤变戏法,Conjure,,noun
诅咒,Curse,,adjective
减益,Debuff,,verb
驱散,Dispel,,noun
神圣,Divine,,adjective
魔法粉尘,Dust,,verb
元素,Elemental,,noun
附魔,Enchant,,noun
发光,Glow,,adjective
治疗,Heal,,adjective
幻象,Illusion,,adjective
法力,Mana,,noun
死灵法术,Necromancy,,noun
法球,Orb,,adjective
药水,Potion,,noun
复活,Revival,,adjective
仪式,Ritual,,adjective
符文,Rune,,noun
暗影,Shadow,,adjective
闪耀,Shine,,adjective
灵魂,Soul,,adjective
火花闪烁,Sparkle,,noun
咒语,Spell,,adjective
精神灵体,Spirit,,adjective
召唤,Summon,,noun
念力,Telekinesis,,noun
图腾,Totem,,noun
消失,Vanish,,adjective
魔杖,Wand,,noun
结界守卫,Ward,,noun
奇幻怪诞,Whimsy,,adjective
鬼火小精灵,Wisp,,noun
有趣,Funny,,adjective
快乐,Happy,,adjective
积极,Positive,,adjective
愚蠢搞怪,Silly,,verb
奇怪,Strange,,adjective
怪异,Weird,,adjective
中性,Neutral,balanced,adjective
平衡,Balanced,even,verb
模糊,Ambiguous,unclear,adjective
过渡,Transitional,bridge,verb
混合,Hybrid,mixed,adjective
融合,Fused,blend,noun
渐变,Gradient,fade,noun
层次,Layered,complex,noun
复杂,Complex,rich,noun
多维,Multi,dimensional,verb
易碎脆,Brittle,,adjective
啾啾声短促高音,Chirp,,verb
潮湿闷,Damp,,noun
空旷,Empty,,adjective
脉冲搏动,Pulsing,,verb
有力冲击感强,Punchy,,verb
闪烁微光感,Shimmer,,adjective
缓慢,Slow,,adjective
空间感迷幻,Spacey,,noun
吱吱作响,Squeaky,,adjective
颤音,Tremolo,,noun
湿润,Wet,,noun
宽广,Wide,,noun
强调音,Accent,cinematic dramatic,adjective
大气,Atmosphere,cinematic dramatic,noun
起音,Attack,cinematic dramatic,adjective
衬底,Bed,cinematic dramatic,noun
情绪推进,Build,up cinematic dramatic,noun
洞穴感,Cavernous,cinematic dramatic,noun
高潮,Climax,cinematic dramatic,verb
音簇,Cluster,cinematic dramatic,adjective
渐强,Crescendo,cinematic dramatic,noun
不协和,Discordant,cinematic dramatic,noun
失真,Distortion,cinematic dramatic,verb
下降音,Downer,cinematic dramatic,verb
演变,Evolution,cinematic dramatic,noun
淡入,Fade,In cinematic dramatic,adjective
反馈,Feedback,cinematic dramatic,adjective
过滤,Filter,cinematic dramatic,noun
终章,Finale,cinematic dramatic,verb
镶边,Flanger,cinematic dramatic,noun
频率,Frequency,cinematic dramatic,adjective
颗粒,Grain,cinematic dramatic,noun
前奏,Intro,cinematic dramatic,noun
层叠,Layer,cinematic dramatic,noun
调制,Modulation,cinematic dramatic,adjective
单次触发,One,shot cinematic dramatic,adjective
尾声,Outro,cinematic dramatic,noun
音高,Pitch,cinematic dramatic,verb
经过处理,Processed,cinematic dramatic,verb
上升,Rise,cinematic dramatic,verb
上升音效,Riser,cinematic dramatic,verb
序列,Sequence,cinematic dramatic,noun
冲击波,Shockwave,cinematic dramatic,verb
静音,Silence,cinematic dramatic,adjective
简单,Simple,cinematic dramatic,adjective
跨度,Span,cinematic dramatic,noun
刺点,Stinger,cinematic dramatic,noun
超低音,Sub,cinematic dramatic,noun
回吸音,Suckback,cinematic dramatic,adjective
扫频,Sweep,cinematic dramatic,adjective
膨胀,Swell,cinematic dramatic,verb
同步,Sync,cinematic dramatic,adjective
尾音,Tail,cinematic dramatic,noun
质感,Texture,cinematic dramatic,noun
音色,Timbre,cinematic dramatic,noun
预告片,Trailer,cinematic dramatic,noun
变形,Transform,cinematic dramatic,verb
转场,Transition,cinematic dramatic,verb
背景配乐,Underscore,cinematic dramatic,adjective
力度,Velocity,cinematic dramatic,verb
呼啸撞击,Whooshbang,cinematic dramatic,verb
衰减,Attenuate,professional studio,noun
自动化,Automation,professional studio,noun
带宽,Bandwidth,professional studio,noun
提升,Boost,professional studio,noun
旁通,Bypass,professional studio,noun
削波,Clipping,professional studio,noun
拼接(人声),Comping,professional studio,noun
压缩,Compression,professional studio,noun
交叉淡化,Crossfade,professional studio,noun
阻尼,Damping,professional studio,noun
扩散,Diffusion,professional studio,noun
抖动(降位深),Dither,professional studio,noun
闪避,Ducking,professional studio,noun
均衡器,Equalizer,professional studio,noun
激励器,Exciter,professional studio,noun
扩展器,Expander,professional studio,noun
推子,Fader,professional studio,noun
增益,Gain,professional studio,noun
门限,Gate,professional studio,noun
动态余量,Headroom,professional studio,noun
脉冲响应,Impulse,professional studio,noun
隔离,Isolation,professional studio,noun
延迟,Latency,professional studio,noun
分层,Layering,professional studio,noun
限制器,Limiter,professional studio,noun
循环,Looping,professional studio,noun
掩蔽效应,Masking,professional studio,noun
母带处理,Mastering,professional studio,noun
混音,Mixing,professional studio,noun
单声道,Mono,professional studio,noun
静音,Mute,professional studio,noun
归一化,Normalize,professional studio,noun
并行处理,Parallel,professional studio,noun
参量(EQ),Parametric,professional studio,noun
移相器,Phaser,professional studio,noun
极性,Polarity,professional studio,noun
量化,Quantize,professional studio,noun
比率,Ratio,professional studio,noun
混响,Reverb,professional studio,noun
采样率,Sample,Rate professional studio,noun
饱和度,Saturation,professional studio,noun
发送,Send,professional studio,noun
侧链,Sidechain,professional studio,noun
信号流,Signal,Flow professional studio,noun
独奏,Solo,professional studio,noun
频谱,Spectrum,professional studio,noun
立体声,Stereo,professional studio,noun
阈值,Threshold,professional studio,noun
瞬态,Transient,professional studio,noun
